Country,Birth Rate,Cancer Rate,Dengue Cases,EPI,GDP,Health Expenditure,Heart Disease Rate,Population,Area,Pop Density,Stroke Rate,Life Expectancy
pakistan,27.5,88.37,7000,37.5,312570,27,246.84,173510000,881913,196.7,100.5,65.88
palau,13.6,,,,297,1038,,,,,,
palestine,32.8,,,,,,,4048403,6020,672.5,,72.65
panama,19.7,92.29,,62.71,65206,527,72.53,3504483,75417,46.5,43.56,77.32
papua new guinea,30.9,,,39.35,21319,42,,6744955,462840,14.6,,62.31
paraguay,22.9,109.11,13678,53.93,41604,201,100.96,6459727,406752,15.9,76.98,72.74
peru,19.9,103.88,,61.92,225203,239,74.12,29461933,1285216,22.9,37.59,74.15
philippines,25.3,97.69,119789,57.65,330846,92,191.79,94013200,343448,273.7,134.74,67.99
pitcairn islands (uk),12.3,,,,,,,,,,,
poland,10.2,144.43,,64.11,586015,809,148.09,38167329,312679,122.1,63.21,77.14
portugal,9.2,128.07,,71.91,238510,2213,47.23,10637713,92212,115.4,47.51,80.55
puerto rico,,,13990,,104344,,,3721978,9104,408.8,,
puerto rico (usa),11.4,,,,,,,,,,,79.22
qatar,11.9,76.41,,67.8,192450,1258,101.08,1699435,11581,146.7,30.96,77.89
reunion (france),17,,,,,,,,,,,79.54
republic of macedonia,,,,,,,,,,,,75.16
republic of moldova,,,,,,198,,,,,,
romania,9.2,149.84,,64.78,239851,472,212.34,21462186,238397,90,109.24,74.46
russia,12.6,156.55,,63.79,1630659,567,292,142849472,17075200,8.4,166.9,69.83
rwanda,42.1,149.02,,43.68,9511,55,76.86,10412820,26338,395.4,80.7,63.14
saint barthelemy (france),10.2,,,,,,,,,,,
"saint helena, ascension and tristan da cunha (uk)",8.5,,,,,,,,,,,
saint kitts and nevis,12.5,,,,1019,785,,,,,,
saint lucia,12.8,133.02,,56.18,1874,477,73.29,,,,80.08,74.81
saint martin (france),16.6,,,,,,,,,,,
saint pierre and miquelon (france),8.3,,,,,,,,,,,
saint vincent and the grenadines,16.8,163.18,,66.48,826,277,149.34,,,,93.56,72.75
samoa,24.8,59.86,,54.5,861,193,131.75,,,,74.41,73.02
san marino,10.2,,,,1638,3974,,,,,,
sao tome and principe,29.4,126.58,,54.01,449,60,94.7,,,,112.64,66.23
saudi arabia,22.9,62.78,2219,57.47,782483,671,174.22,27136977,2149690,12.6,89.82,74.08
senegal,36.7,74.43,,49.52,24027,40,112.06,12509434,196712,63.6,119.65,65.81
serbia,9,155.24,,57.49,50651,545,118.68,7291436,77474,94.1,80.28,74.65
seychelles,18.6,138.15,,66.02,1573,380,112.62,,,,54.16,72.94
sierra leone,38.4,76.06,,42.54,3906,37,188.09,5835664,71740,81.3,184.54,50.19
singapore,9.5,105.14,5103,64.23,361109,1503,62.1,5076700,721,7041.2,23.27,82.66
sint maarten (netherlands),13,,,,,,,,,,,
slovakia,11.3,162.57,,70.6,106585,1295,155.65,5424925,49035,110.6,53.41,76.04
slovenia,10.7,150.61,,67.57,54242,2008,85.67,2046976,20273,101,41.68,80.08
solomon islands,34.3,98.43,,43.22,1424,94,147,,,,119.21,67.53
somalia,42.3,118.23,,,,,68.56,9358602,637657,14.7,91.16,54.88
south africa,21,152.09,,44.73,368135,540,114.02,49991300,1221037,40.9,93.76,57.11
south korea,9.4,106.46,,62.3,1619424,1437,30.76,49410366,100210,493.1,34.98,81.43
south sudan,36.8,123.38,,,3929,,73.85,,,,85,55.06
spain,10.2,117.92,,78.39,1425865,2778,49.62,45989016,505990,90.9,25.54,82.28
sri lanka,17.4,85.52,26824,60.61,88223,83,126.95,20653000,65610,314.8,73.82,74.64
sudan,32.6,80.5,,51.49,33903,104,227.35,42338426,1886068,22.4,136.47,63.08
suriname,18.7,114.68,,54.2,3427,450,118.55,,,,120.46,70.9
swaziland,,98.24,,40.32,,313,126.95,,,,114.83,
sweden,11.8,112.77,,80.51,551135,4437,75.3,9340682,450295,20.7,27.52,81.93
switzerland,10.2,107.99,,87.42,703750,8019,61.81,7785806,41285,188.6,19.5,82.84
syria,27.6,126.8,,,77460,,256.78,20619000,185180,111.3,106.07,69.51
taiwan,8.5,,1211,72.84,589391,,,23162120,36197,639.9,,79.26
