Country,Birth Rate,Cancer Rate,Dengue Cases,EPI,GDP,Health Expenditure,Heart Disease Rate,Population,Area,Pop Density,Stroke Rate,Life Expectancy
brazil,12.69,107.43,1011548,60.7,1868184.0,895,80.16,193252604.0,8515767.0,22.7,53.03,74.05
british virgin islands,10.1,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
brunei darussalam,15.5,110.19,10230,63.57,14082.0,803,80.26,10526956.5,240302.5,74.75,46.93,78.44
bulgaria,9.6,134.04,10230,67.85,64963.0,485,211.28,7563710.0,110993.0,68.1,131.98,74.04
burkina faso,45.0,88.27,10230,42.83,14180.0,34,170.63,15730977.0,274200.0,57.4,94.36,58.07
burundi,33.3,133.56,10230,27.43,3436.0,26,78.73,8518862.0,27834.0,306.1,101.45,56.07
cabo verde,17.5,109.11,10230,56.94,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
cambodia,25.4,122.7,3771,43.23,24523.0,54,144.95,14302779.0,181035.0,79.0,119.57,67.61
cameroon,34.2,82.8,10230,40.81,38521.0,59,124.42,19958352.0,475442.0,42.0,136.18,54.87
canada,11.2,118.16,10230,72.18,1711387.0,4988,55.36,34108752.0,9984670.0,3.4,18.22,81.78
cape verde,17.5,66.59,10230,56.18,1970.0,148,123.58,10526956.5,240302.5,74.75,140.48,72.97
cayman islands (uk),14.5,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,80.45
central african republic,33.2,82.66,10230,36.42,2185.0,17,110.11,4505945.0,622984.0,7.2,155.11,49.53
chad,43.2,84.59,10230,45.34,10919.0,36,124.86,11714904.0,1284000.0,9.1,133.05,51.13
chile,14.5,110.46,10230,57.49,298172.0,871,49.05,17094270.0,756096.0,22.6,39.3,81.21
china,11.9,139.44,10230,50.74,13407398.0,199,98.33,1339724852.0,9596961.0,139.6,128.18,75.43
colombia,18.9,104.22,121600,65.22,333114.0,384,97.29,45508205.0,1141748.0,39.9,38.03,73.75
comoros,29.4,96.37,10230,44.24,742.0,67,92.29,10526956.5,240302.5,74.75,117.68,62.83
democratic republic of the congo,31.9,107.77,10230,30.41,42644.0,13,82.42,67827496.0,2345409.0,28.9,110.84,58.1
republic of the congo,42.5,70.74,10230,42.39,11188.0,55,102.16,3758678.0,342000.0,11.0,101.88,61.42
cook islands (new zealand),16.8,109.11,10230,56.18,41325.5,478,116.09,10526956.5,240302.5,74.75,83.21,73.19
costa rica,15.9,103.46,21000,67.85,59006.0,664,72.38,4563539.0,51100.0,89.3,29.79,79.16
cote d'ivoire,17.5,95.0,10230,45.25,43032.0,75,175.14,21570746.0,322463.0,66.9,171.11,50.97
croatia,9.4,163.62,10230,65.45,60688.0,1125,149.56,4425747.0,56594.0,78.2,76.19,77.05
cuba,11.8,132.24,10230,63.42,41325.5,300,100.35,11241161.0,109884.0,102.3,46.99,79.16
curacao netherlands antilles,13.6,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,77.77
cyprus,11.3,112.26,10230,72.6,24492.0,1959,89.18,10526956.5,240302.5,74.75,31.85,79.9
czech republic,10.4,134.31,10230,67.68,242052.0,1374,152.37,10506813.0,78866.0,133.2,43.82,78.35
denmark,10.6,145.33,10230,81.6,350874.0,6036,44.76,5534738.0,42931.0,128.9,26.79,79.99
djibouti,26.5,82.15,10230,40.04,2187.0,55,86.76,10526956.5,240302.5,74.75,93.57,61.61
dominican republic,21.1,114.41,8839,64.71,80940.0,300,129.96,9884371.0,48315.0,204.6,69.73,73.19
ecuador,15.1,98.08,10230,57.42,107511.0,350,60.55,14483499.0,283561.0,51.1,36.27,75.54
egypt,30.4,118.58,10230,61.21,249559.0,111,216.82,78728000.0,1010408.0,77.9,95.56,70.84
el salvador,20.0,107.55,6458,53.91,26057.0,240,103.39,6194126.0,21041.0,294.4,30.39,72.64
equatorial guinea,37.4,72.91,10230,60.4,13734.0,263,126.86,1313000.0,28050.0,46.8,112.47,57.13
eritrea,33.6,106.23,10230,39.34,6721.0,18,93.11,5223994.0,117600.0,44.4,122.03,63.07
estonia,11.0,140.59,10230,64.31,30312.0,928,180.43,1340127.0,45227.0,29.6,35.03,76.52
eswatini (swaziland),31.1,109.11,10230,56.18,4679.0,300,116.09,10526956.5,240302.5,74.75,83.21,49.18
ethiopia,35.7,92.21,10230,44.78,80279.0,17,106.06,83483000.0,1104300.0,75.6,89.82,63.13
f.s. micronesia,23.5,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
falkland islands (uk),9.0,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
faroe islands (denmark),11.9,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
federated states of micronesia,17.5,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,68.93
fiji,21.4,92.64,10230,53.09,4809.0,135,161.57,10526956.5,240302.5,74.75,73.71,69.72
finland,11.1,105.06,10230,78.64,275321.0,4098,86.1,5351427.0,338424.0,15.8,33.83,80.53
france,12.6,136.23,644,83.95,2775252.0,4385,43.25,62791013.0,640679.0,98.0,23.16,81.85
french guiana,26.1,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,78.98
french polynesia,17.0,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,76.12
gabon,17.5,62.69,10230,45.05,17033.0,217,98.2,1501266.0,267667.0,5.6,103.58,63.65
gambia,34.6,58.92,10230,42.42,1617.0,32,142.6,1750732.0,10689.0,163.8,136.82,59.83
georgia,12.9,120.76,10230,55.69,16324.0,263,229.05,4436391.0,69700.0,63.6,143.85,74.64
germany,8.1,125.9,10230,78.37,4000386.0,4697,83.78,81802257.0,357168.0,229.0,25.61,80.66
ghana,30.8,79.3,10230,49.66,65191.0,86,155.08,24223431.0,239567.0,101.1,160.1,61.03
gibraltar (uk),14.9,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
greece,9.2,121.87,10230,73.6,219097.0,2574,112.4,11305118.0,131957.0,85.7,65.08,80.6
greenland (denmark),14.5,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
grenada,16.5,183.94,10230,50.93,1196.0,452,151.92,10526956.5,240302.5,74.75,94.19,73.17
guadeloupe (france),13.6,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,80.56
guam (usa),20.6,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,78.72
guatemala,30.5,84.5,1925,52.33,78979.0,181,84.3,14361666.0,108889.0,131.9,41.02,71.47
"guernsey (channel islands, uk)",10.1,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
guinea,37.3,80.65,10230,46.62,11739.0,20,115.65,10323755.0,245836.0,42.0,116.39,58.04
guinea-bissau,39.4,71.41,10230,44.67,1459.0,34,129.92,1647380.0,36125.0,45.6,123.07,54.72
guyana,16.6,89.03,10230,47.93,3636.0,141,207.86,10526956.5,240302.5,74.75,140.94,66.24
haiti,26.0,96.07,10230,33.74,9525.0,69,161.82,9855000.0,27750.0,355.1,139.82,62.29
honduras,27.3,98.75,69745,51.51,23778.0,159,108.11,8045990.0,112492.0,71.5,50.93,72.83
hong kong,13.5,109.11,10230,56.18,363031.0,300,116.09,7024200.0,2755.0,2549.6,83.21,82.07
hungary,8.8,179.91,10230,65.01,155703.0,983,181.46,10014324.0,93030.0,107.6,58.72,74.98
iceland,14.1,109.47,10230,78.57,25882.0,3671,80.3,10526956.5,240302.5,74.75,26.13,82.3
india,21.8,72.21,5837,30.57,2716746.0,45,146.11,1182105564.0,3287263.0,359.6,71.48,67.47
indonesia,18.1,109.83,10230,46.92,1022454.0,107,140.88,237641326.0,1904569.0,124.8,186.29,68.59
iran,18.2,98.35,10230,58.16,452275.0,441,170.87,74733230.0,1648195.0,45.3,83.32,75.06
iraq,31.0,108.08,10230,43.2,226070.0,145,215.95,32481000.0,437072.0,74.3,94.27,69.19
ireland,16.3,126.41,10230,78.77,372695.0,5128,71.73,4467854.0,70273.0,63.6,25.97,80.57
isle of man (uk),12.3,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
israel,21.4,115.44,10230,75.01,369843.0,2218,46.66,7623600.0,22072.0,345.4,22.79,82.64
italy,9.1,122.39,10230,76.96,2072201.0,3215,64.95,60340328.0,301338.0,200.2,36.02,83.31
ivory coast,32.8,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
jamaica,15.2,116.22,10230,58.58,15422.0,252,64.41,2701200.0,10991.0,245.8,77.34,75.44
japan,8.3,113.71,10230,74.69,4971929.0,4060,40.59,128056000.0,377972.0,338.8,33.6,83.74
"jersey (channel islands, uk)",11.3,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
jordan,28.9,102.0,10230,62.2,42371.0,309,136.01,6113000.0,89341.0,68.4,77.92,73.79
kazakhstan,22.5,195.42,10230,54.56,170539.0,364,182.6,16442000.0,2724900.0,6.0,90.99,69.07
kenya,36.1,149.01,10230,47.25,89205.0,62,44.2,40862900.0,580367.0,70.4,66.9,60.62
kiribati,27.8,114.51,10230,55.26,189.0,140,124.6,10526956.5,240302.5,74.75,169.81,65.74
kosovo,19.1,109.11,10230,56.18,7981.0,300,116.09,2208107.0,10908.0,202.4,83.21,73.19
kuwait,16.0,59.47,10230,62.28,141050.0,1061,203.54,3566437.0,17818.0,200.2,83.21,74.28
kyrgyzstan,27.1,97.84,10230,54.86,8093.0,63,388.11,5418300.0,199951.0,27.1,137.56,70.26
laos,28.0,135.67,14659,42.94,18434.0,35,167.41,6230200.0,237955.0,26.2,122.62,65.51
latvia,9.1,153.54,10230,66.12,34881.0,973,206.28,2248374.0,64589.0,34.8,104.98,73.95
lebanon,24.3,98.76,10230,61.08,56409.0,659,214.24,3785655.0,10452.0,362.2,56.01,78.86
lesotho,30.4,95.19,10230,33.78,2762.0,80,124.75,1891830.0,30355.0,62.3,116.53,49.5
liberia,36.1,81.14,10230,41.62,3249.0,33,110.97,4101767.0,111369.0,36.8,107.18,60.25
libya,21.5,94.32,10230,49.79,43587.0,300,191.96,6545619.0,1759541.0,3.7,88.8,71.47
liechtenstein,10.9,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
lithuania,11.3,149.55,10230,69.33,53323.0,805,234.58,3329039.0,65300.0,51.0,84.13,73.07
luxembourg,10.9,111.81,10230,79.12,68770.0,7452,60.35,10526956.5,240302.5,74.75,25.72,81.34
macau,10.6,109.11,10230,56.18,54545.0,300,116.09,10526956.5,240302.5,74.75,83.21,80.3
macedonia,11.1,135.97,10230,61.06,41325.5,300,121.15,2052722.0,25713.0,79.8,130.87,73.19
madagascar,33.5,129.3,10230,33.73,12093.0,22,88.59,20146442.0,587041.0,34.3,122.95,64.5
malawi,44.6,156.9,10230,49.21,6925.0,33,85.23,13947592.0,118484.0,117.7,72.01,60.97
malaysia,17.5,95.89,45037,59.22,354348.0,302,137.02,28334135.0,330803.0,85.7,71.5,74.5
maldives,22.4,72.8,10230,52.14,5302.0,594,111.46,10526956.5,240302.5,74.75,46.92,76.36
mali,45.4,91.76,10230,43.71,17187.0,31,144.2,15370000.0,1240192.0,12.4,138.9,57.23
malta,10.2,101.23,10230,80.9,14505.0,1733,103.64,10526956.5,240302.5,74.75,31.26,80.3
marshall islands,31.1,109.11,10230,56.18,214.0,607,116.09,10526956.5,240302.5,74.75,83.21,73.19
martinique (france),13.0,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,81.18
mauritania,33.2,67.3,10230,39.24,5194.0,40,126.7,3217383.0,1030000.0,3.1,112.3,62.77
mauritius,11.4,78.91,10230,56.63,14277.0,367,115.32,1283415.0,2040.0,629.1,53.19,74.15
mayotte (france),23.2,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,79.34
mexico,17.5,71.34,12240,59.69,1223359.0,539,90.16,112336538.0,1972550.0,56.9,32.38,76.48
micronesia,17.5,102.99,10230,49.8,374.0,371,156.8,10526956.5,240302.5,74.75,99.12,73.19
moldova,11.0,117.81,10230,51.97,11404.0,300,322.26,3563695.0,33846.0,105.3,121.53,71.33
monaco,27.3,109.11,10230,56.18,41325.5,3370,116.09,10526956.5,240302.5,74.75,83.21,73.19
mongolia,25.1,197.11,10230,57.51,13038.0,96,243.21,2780800.0,1566000.0,1.8,183.93,68.89
montenegro,11.6,150.84,10230,61.33,5402.0,388,147.91,10526956.5,240302.5,74.75,164.39,76.02
montserrat (uk),9.3,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
morocco,18.8,83.8,10230,63.47,118309.0,169,124.67,31894000.0,710850.0,44.9,77.9,73.61
mozambique,41.4,146.7,10230,46.37,14428.0,21,77.78,22416881.0,801590.0,28.0,109.43,54.63
myanmar,19.3,122.3,10230,45.32,68559.0,15,78.45,59780000.0,676578.0,88.4,159.87,65.64
namibia,17.5,69.06,10230,58.46,13824.0,492,116.09,2212037.0,825615.0,2.7,91.52,64.34
nauru,29.7,109.11,10230,56.18,41325.5,665,116.09,10526956.5,240302.5,74.75,83.21,73.19
nepal,24.3,78.34,280,31.44,28812.0,30,158.35,28043744.0,147181.0,190.5,80.01,69.03
netherlands,10.8,139.39,10230,75.46,912899.0,5249,52.1,16574989.0,41543.0,399.0,27.46,81.31
new caledonia (france),16.7,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,76.19
new guinea,17.5,174.8,10230,56.18,41325.5,300,159.17,10526956.5,240302.5,74.75,138.34,73.19
new zealand,14.3,120.03,10230,75.96,203404.0,3240,72.29,4367800.0,268021.0,16.3,31.78,81.56
nicaragua,23.2,90.46,10230,55.04,13258.0,99,100.18,5822265.0,130375.0,44.7,49.89,74.47
niger,46.0,55.17,10230,35.74,9226.0,22,116.43,15203822.0,1267000.0,12.0,114.59,60.65
nigeria,36.9,95.59,10230,54.76,397270.0,76,117.12,158258917.0,923768.0,171.3,120.0,52.29
niue,17.5,109.11,10230,56.18,41325.5,1288,116.09,10526956.5,240302.5,74.75,83.21,73.19
niue (new zealand),14.8,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
north korea,14.4,148.52,10230,56.18,41325.5,300,109.84,24325701.0,120540.0,201.8,177.55,69.91
north macedonia,17.5,109.11,10230,56.18,12669.0,316,116.09,10526956.5,240302.5,74.75,83.21,73.19
northern mariana islands (usa),20.7,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
norway,12.2,124.11,10230,77.49,434937.0,7860,62.16,4858199.0,385203.0,12.6,28.44,81.32
oman,31.0,54.21,10230,51.32,82243.0,529,128.07,2773479.0,309500.0,9.0,45.41,76.33
pakistan,27.5,88.37,7000,37.5,312570.0,27,246.84,173510000.0,881913.0,196.7,100.5,65.88
palau,13.6,109.11,10230,56.18,297.0,1038,116.09,10526956.5,240302.5,74.75,83.21,73.19
palestine,32.8,109.11,10230,56.18,41325.5,300,116.09,4048403.0,6020.0,672.5,83.21,72.65
panama,19.7,92.29,10230,62.71,65206.0,527,72.53,3504483.0,75417.0,46.5,43.56,77.32
papua new guinea,30.9,109.11,10230,39.35,21319.0,42,116.09,6744955.0,462840.0,14.6,83.21,62.31
paraguay,22.9,109.11,13678,53.93,41604.0,201,100.96,6459727.0,406752.0,15.9,76.98,72.74
peru,19.9,103.88,10230,61.92,225203.0,239,74.12,29461933.0,1285216.0,22.9,37.59,74.15
philippines,25.3,97.69,119789,57.65,330846.0,92,191.79,94013200.0,343448.0,273.7,134.74,67.99
pitcairn islands (uk),12.3,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
poland,10.2,144.43,10230,64.11,586015.0,809,148.09,38167329.0,312679.0,122.1,63.21,77.14
portugal,9.2,128.07,10230,71.91,238510.0,2213,47.23,10637713.0,92212.0,115.4,47.51,80.55
puerto rico,17.5,109.11,13990,56.18,104344.0,300,116.09,3721978.0,9104.0,408.8,83.21,73.19
puerto rico (usa),11.4,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,79.22
qatar,11.9,76.41,10230,67.8,192450.0,1258,101.08,1699435.0,11581.0,146.7,30.96,77.89
reunion (france),17.0,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,79.54
republic of macedonia,17.5,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,75.16
republic of moldova,17.5,109.11,10230,56.18,41325.5,198,116.09,10526956.5,240302.5,74.75,83.21,73.19
romania,9.2,149.84,10230,64.78,239851.0,472,212.34,21462186.0,238397.0,90.0,109.24,74.46
russia,12.6,156.55,10230,63.79,1630659.0,567,292.0,142849472.0,17075200.0,8.4,166.9,69.83
rwanda,42.1,149.02,10230,43.68,9511.0,55,76.86,10412820.0,26338.0,395.4,80.7,63.14
saint barthelemy (france),10.2,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
"saint helena, ascension and tristan da cunha (uk)",8.5,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
saint kitts and nevis,12.5,109.11,10230,56.18,1019.0,785,116.09,10526956.5,240302.5,74.75,83.21,73.19
saint lucia,12.8,133.02,10230,56.18,1874.0,477,73.29,10526956.5,240302.5,74.75,80.08,74.81
saint martin (france),16.6,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
saint pierre and miquelon (france),8.3,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
saint vincent and the grenadines,16.8,163.18,10230,66.48,826.0,277,149.34,10526956.5,240302.5,74.75,93.56,72.75
samoa,24.8,59.86,10230,54.5,861.0,193,131.75,10526956.5,240302.5,74.75,74.41,73.02
san marino,10.2,109.11,10230,56.18,1638.0,3974,116.09,10526956.5,240302.5,74.75,83.21,73.19
sao tome and principe,29.4,126.58,10230,54.01,449.0,60,94.7,10526956.5,240302.5,74.75,112.64,66.23
saudi arabia,22.9,62.78,2219,57.47,782483.0,671,174.22,27136977.0,2149690.0,12.6,89.82,74.08
senegal,36.7,74.43,10230,49.52,24027.0,40,112.06,12509434.0,196712.0,63.6,119.65,65.81
serbia,9.0,155.24,10230,57.49,50651.0,545,118.68,7291436.0,77474.0,94.1,80.28,74.65
seychelles,18.6,138.15,10230,66.02,1573.0,380,112.62,10526956.5,240302.5,74.75,54.16,72.94
sierra leone,38.4,76.06,10230,42.54,3906.0,37,188.09,5835664.0,71740.0,81.3,184.54,50.19
singapore,9.5,105.14,5103,64.23,361109.0,1503,62.1,5076700.0,721.0,7041.2,23.27,82.66
sint maarten (netherlands),13.0,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
slovakia,11.3,162.57,10230,70.6,106585.0,1295,155.65,5424925.0,49035.0,110.6,53.41,76.04
slovenia,10.7,150.61,10230,67.57,54242.0,2008,85.67,2046976.0,20273.0,101.0,41.68,80.08
solomon islands,34.3,98.43,10230,43.22,1424.0,94,147.0,10526956.5,240302.5,74.75,119.21,67.53
somalia,42.3,118.23,10230,56.18,41325.5,300,68.56,9358602.0,637657.0,14.7,91.16,54.88
south africa,21.0,152.09,10230,44.73,368135.0,540,114.02,49991300.0,1221037.0,40.9,93.76,57.11
south korea,9.4,106.46,10230,62.3,1619424.0,1437,30.76,49410366.0,100210.0,493.1,34.98,81.43
south sudan,36.8,123.38,10230,56.18,3929.0,300,73.85,10526956.5,240302.5,74.75,85.0,55.06
spain,10.2,117.92,10230,78.39,1425865.0,2778,49.62,45989016.0,505990.0,90.9,25.54,82.28
sri lanka,17.4,85.52,26824,60.61,88223.0,83,126.95,20653000.0,65610.0,314.8,73.82,74.64
sudan,32.6,80.5,10230,51.49,33903.0,104,227.35,42338426.0,1886068.0,22.4,136.47,63.08
suriname,18.7,114.68,10230,54.2,3427.0,450,118.55,10526956.5,240302.5,74.75,120.46,70.9
swaziland,17.5,98.24,10230,40.32,41325.5,313,126.95,10526956.5,240302.5,74.75,114.83,73.19
sweden,11.8,112.77,10230,80.51,551135.0,4437,75.3,9340682.0,450295.0,20.7,27.52,81.93
switzerland,10.2,107.99,10230,87.42,703750.0,8019,61.81,7785806.0,41285.0,188.6,19.5,82.84
syria,27.6,126.8,10230,56.18,77460.0,300,256.78,20619000.0,185180.0,111.3,106.07,69.51
taiwan,8.5,109.11,1211,72.84,589391.0,300,116.09,23162120.0,36197.0,639.9,83.21,79.26
tajikistan,28.7,85.21,10230,47.85,7520.0,43,271.42,7616400.0,143100.0,53.2,140.11,69.07
tanzania,39.8,107.61,10230,50.83,57862.0,300,85.3,43187823.0,947303.0,45.6,76.58,64.04
thailand,12.4,107.92,108863,49.88,487239.0,172,71.19,63878267.0,513120.0,124.5,62.45,74.14
timor-leste,39.2,121.02,10230,49.54,3090.0,51,122.96,10526956.5,240302.5,74.75,102.11,67.73
togo,30.9,91.93,10230,41.78,5358.0,31,145.94,6191155.0,56785.0,109.0,143.6,59.01
tokelau (new zealand),22.1,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
tonga,26.5,159.49,10230,62.49,470.0,178,128.72,10526956.5,240302.5,74.75,75.78,72.6
trinidad and tobago,15.2,123.29,1200,67.36,22311.0,801,154.33,1317714.0,5131.0,256.8,75.02,70.23
tunisia,18.6,71.25,10230,62.35,39911.0,244,107.16,10547100.0,163610.0,64.5,98.12,74.6
turkey,16.7,137.04,10230,52.96,766428.0,539,108.59,73722988.0,783356.0,94.1,58.99,74.84
turkmenistan,21.7,110.62,10230,66.1,44114.0,222,411.1,5479800.0,491210.0,11.2,170.8,65.39
turks and caicos islands (uk),14.8,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
tuvalu,22.9,109.11,10230,56.18,45.0,440,116.09,10526956.5,240302.5,74.75,83.21,73.19
u.s. virgin islands,11.1,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,80.06
uganda,44.1,158.91,10230,44.28,28122.0,63,65.39,31784600.0,241038.0,131.9,91.84,57.25
ukraine,11.0,130.51,10230,52.87,124603.0,189,395.73,45782592.0,603628.0,75.8,118.81,70.76
united arab emirates,9.6,109.11,10230,58.9,424635.0,1359,116.09,8264070.0,83600.0,98.9,83.21,76.67
united kingdom,12.9,134.39,10230,79.89,2828644.0,3307,57.34,62026962.0,242495.0,255.8,27.45,80.45
united republic of tanzania,17.5,109.11,10230,56.18,41325.5,36,116.09,10526956.5,240302.5,74.75,83.21,73.19
united states of america,12.7,114.15,198,71.19,20494050.0,7950,86.89,309349689.0,9833520.0,31.5,23.69,78.88
uruguay,14.1,158.35,10230,64.65,60180.0,1002,70.98,3356584.0,176215.0,19.0,45.51,76.96
uzbekistan,21.5,62.91,10230,45.88,41241.0,74,325.43,28001400.0,448978.0,62.4,83.74,68.25
vanuatu,31.1,82.15,10230,44.55,928.0,82,137.11,10526956.5,240302.5,74.75,100.56,71.48
venezuela,20.2,107.64,124931,63.89,98468.0,614,126.76,28833845.0,716445.0,40.2,53.59,73.95
vietnam,16.6,113.05,80000,46.96,241272.0,77,68.84,86932500.0,331230.0,262.5,115.38,75.57
wallis and futuna (france),13.4,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
western sahara (sahrawi),21.9,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,67.61
yemen,35.9,69.45,10230,56.18,26914.0,68,298.84,23153982.0,527968.0,43.9,164.35,63.51
zambia,43.6,112.19,10230,50.97,25179.0,67,85.07,13257269.0,752618.0,17.6,64.18,58.75
zimbabwe,29.2,117.18,10230,43.41,26127.0,78,77.38,12644041.0,390757.0,32.4,63.38,54.78
