Country,Birth Rate,Cancer Rate,Dengue Cases,EPI,GDP,Health Expenditure,Heart Disease Rate,Population,Area,Pop Density,Stroke Rate,Life Expectancy
afghanistan,45.1,118.5,10230,37.74,19585.0,46,263.34,24485600.0,652864.0,37.5,154.41,59.82
albania,11.5,126.75,10230,65.46,15202.0,204,126.59,3195000.0,28748.0,111.1,105.31,77.49
algeria,24.8,74.01,10230,57.18,180441.0,228,110.05,35978000.0,2381741.0,15.1,74.66,74.42
american samoa,23.5,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
andorra,10.2,109.11,10230,56.18,41325.5,4596,116.09,10526956.5,240302.5,74.75,83.21,73.19
angola,40.9,82.46,10230,37.44,107316.0,97,128.73,18992708.0,1246700.0,15.2,142.27,51.68
anguilla (uk),11.1,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
antigua and barbuda,13.8,119.09,10230,59.18,1626.0,673,87.16,10526956.5,240302.5,74.75,47.9,75.82
arab emirates,17.5,46.07,10230,56.18,41325.5,300,147.92,10526956.5,240302.5,74.75,78.0,73.19
argentina,18.7,134.15,10230,59.3,518092.0,699,106.36,40518951.0,2780400.0,14.6,44.13,76.01
armenia,13.3,196.12,10230,62.07,12411.0,169,213.2,3249482.0,29743.0,109.3,80.79,74.56
aruba (netherlands),10.6,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,75.39
australia,13.3,111.44,13,74.12,1418275.0,4953,54.11,22299800.0,7692024.0,2.9,24.06,83.42
austria,9.3,121.1,10230,78.97,457637.0,4725,94.43,8375290.0,83879.0,99.8,25.12,81.09
azerbaijan,19.4,103.74,10230,62.33,45418.0,287,295.11,8997586.0,86600.0,103.9,104.44,70.62
bahamas,13.8,104.65,10230,54.99,12803.0,1632,86.53,10526956.5,240302.5,74.75,46.25,75.15
bahrain,15.0,60.73,10230,55.15,38291.0,681,136.69,1234571.0,765.0,1613.8,38.54,76.38
bangladesh,19.2,83.38,10230,29.56,287630.0,20,108.99,148600000.0,147570.0,1007.0,125.64,71.01
barbados,12.2,148.43,10230,55.76,5145.0,1103,75.26,10526956.5,240302.5,74.75,69.25,75.37
belarus,11.5,130.55,10230,64.98,59643.0,306,362.19,9480178.0,207595.0,45.7,118.51,71.08
belgium,11.9,131.86,10230,77.38,533153.0,4401,61.24,10839905.0,30528.0,355.1,28.25,80.53
belize,22.1,111.87,10230,57.79,1925.0,253,124.34,10526956.5,240302.5,74.75,79.24,69.76
benin,37.3,68.91,10230,38.17,10456.0,31,151.46,9211741.0,114763.0,80.3,141.07,59.2
bermuda (uk),11.9,109.11,10230,56.18,41325.5,300,116.09,10526956.5,240302.5,74.75,83.21,73.19
bhutan,20.7,73.27,10230,47.22,2627.0,69,151.69,10526956.5,240302.5,74.75,65.88,68.88
bolivia,17.5,89.74,10230,55.98,41410.0,101,91.29,10426154.0,1098581.0,9.5,63.35,67.72
bosnia and herzegovina,8.3,107.64,10230,41.84,19881.0,417,123.19,3844046.0,51129.0,75.2,102.85,76.26
botswana,24.8,72.93,10230,51.7,18998.0,381,107.42,2029307.0,581730.0,3.5,98.02,64.12
