,Country,Birth Rate,Cancer Rate,Dengue_Cases,EPI,GDP(US$mil),Health Expenditure,Heart Disease Rate,Population,Area(km²),Pop_density,Stroke Rate,Life Expectancy
69,jamaica,15.2,116.22,,58.58,15422,252,64.41,2701200.0,10991.0,245.8,77.34,75.44
70,china,11.9,139.44,,50.74,13407398,199,98.33,1339724852.0,9596961.0,139.6,128.18,75.43
71,aruba ( netherlands),,,,,,,,,,,,75.39
72,barbados,12.2,148.43,,55.76,5145,1103,75.26,,,,69.25,75.37
73,republic of macedonia,,,,,,,,,,,,75.16
74,bahamas,13.8,104.65,,54.99,,1632,86.53,,,,46.25,75.15
75,iran,18.2,98.35,,58.16,452275,,170.87,74733230.0,1648195.0,45.3,83.32,75.06
76,hungary,8.8,179.91,,65.01,155703,983,181.46,10014324.0,93030.0,107.6,58.72,74.98
77,turkey,16.7,137.04,,52.96,766428,539,108.59,73722988.0,783356.0,94.1,58.99,74.84
78,saint lucia,12.8,133.02,,56.18,,477,73.29,,,,80.08,74.81
79,serbia,9.0,155.24,,57.49,50651,545,118.68,7291436.0,77474.0,94.1,80.28,74.65
80,sri lanka,17.4,85.52,26824.0,60.61,88223,83,126.95,20653000.0,65610.0,314.8,73.82,74.64
81,georgia,12.9,120.76,,55.69,16324,263,229.05,4436391.0,69700.0,63.6,143.85,74.64
82,tunisia,18.6,71.25,,62.35,39911,244,107.16,10547100.0,163610.0,64.5,98.12,74.6
83,armenia,13.3,196.12,,62.07,12411,169,213.2,3249482.0,29743.0,109.3,80.79,74.56
84,malaysia,17.5,95.89,45037.0,59.22,354348,302,137.02,28334135.0,330803.0,85.7,71.5,74.5
85,nicaragua,23.2,90.46,,55.04,13258,99,100.18,5822265.0,130375.0,44.7,49.89,74.47
86,romania,9.2,149.84,,64.78,239851,472,212.34,21462186.0,238397.0,90.0,109.24,74.46
87,algeria,24.8,74.01,,57.18,180441,228,110.05,35978000.0,2381741.0,15.1,74.66,74.42
88,kuwait,16.0,59.47,,62.28,141050,1061,203.54,3566437.0,17818.0,200.2,83.21,74.28
89,mauritius,11.4,78.91,,56.63,14277,367,115.32,1283415.0,2040.0,629.1,53.19,74.15
90,peru,19.9,103.88,,61.92,225203,239,74.12,29461933.0,1285216.0,22.9,37.59,74.15
91,thailand,12.4,107.92,108863.0,49.88,487239,172,71.19,63878267.0,513120.0,124.5,62.45,74.14
92,saudi arabia,22.9,62.78,2219.0,57.47,782483,671,174.22,27136977.0,2149690.0,12.6,89.82,74.08
93,brazil,12.69,107.43,1011548.0,60.7,1868184,895,80.16,193252604.0,8515767.0,22.7,53.03,74.05
94,bulgaria,9.6,134.04,,67.85,64963,485,211.28,7563710.0,110993.0,68.1,131.98,74.04
95,venezuela,20.2,107.64,124931.0,63.89,98468,,126.76,28833845.0,716445.0,40.2,53.59,73.95
96,latvia,9.1,153.54,,66.12,34881,973,206.28,2248374.0,64589.0,34.8,104.98,73.95
97,jordan,28.9,102.0,,62.2,42371,309,136.01,6113000.0,89341.0,68.4,77.92,73.79
98,colombia,18.9,104.22,121600.0,65.22,333114,384,97.29,45508205.0,1141748.0,39.9,38.03,73.75
99,morocco,18.8,83.8,,63.47,118309,169,124.67,31894000.0,710850.0,44.9,77.9,73.61
100,dominican republic,21.1,,8839.0,64.71,80940,300,,9884371.0,48315.0,204.6,,73.19
101,grenada,16.5,183.94,,50.93,1196,452,151.92,,,,94.19,73.17
102,lithuania,11.3,149.55,,69.33,53323,805,234.58,3329039.0,65300.0,51.0,84.13,73.07
103,samoa,24.8,59.86,,54.5,861,193,131.75,,,,74.41,73.02
104,cape verde,,66.59,,,1970,148,123.58,,,,140.48,72.97
105,seychelles,18.6,138.15,,66.02,1573,380,112.62,,,,54.16,72.94
106,honduras,27.3,98.75,69745.0,51.51,23778,159,108.11,8045990.0,112492.0,71.5,50.93,72.83
107,saint vincent and the grenadines,16.8,,,66.48,,277,,,,,,72.75
108,paraguay,22.9,109.11,13678.0,53.93,41604,201,100.96,6459727.0,406752.0,15.9,76.98,72.74
109,palestine,32.8,,,,,,,4048403.0,6020.0,672.5,,72.65
110,el salvador,20.0,107.55,6458.0,53.91,26057,240,103.39,6194126.0,21041.0,294.4,30.39,72.64
111,tonga,26.5,159.49,,62.49,470,178,128.72,,,,75.78,72.6
112,vanuatu,31.1,82.15,,44.55,928,82,137.11,,,,100.56,71.48
113,libya,21.5,94.32,,49.79,43587,,191.96,6545619.0,1759541.0,3.7,88.8,71.47
114,guatemala,30.5,84.5,1925.0,52.33,78979,181,84.3,14361666.0,108889.0,131.9,41.02,71.47
115,moldova,11.0,117.81,,51.97,11404,,322.26,3563695.0,33846.0,105.3,121.53,71.33
116,belarus,11.5,130.55,,64.98,59643,306,362.19,9480178.0,207595.0,45.7,118.51,71.08
117,bangladesh,19.2,83.38,,29.56,287630,20,108.99,148600000.0,147570.0,1007.0,125.64,71.01
118,suriname,18.7,114.68,,54.2,3427,450,118.55,,,,120.46,70.9
119,egypt,30.4,118.58,,61.21,249559,111,216.82,78728000.0,1010408.0,77.9,95.56,70.84
120,ukraine,11.0,130.51,,52.87,124603,189,395.73,45782592.0,603628.0,75.8,118.81,70.76
121,azerbaijan,19.4,103.74,,62.33,45418,287,295.11,8997586.0,86600.0,103.9,104.44,70.62
122,kyrgyzstan,27.1,97.84,,54.86,8093,63,388.11,5418300.0,199951.0,27.1,137.56,70.26
123,trinidad and tobago,15.2,,1200.0,67.36,22311,801,,1317714.0,5131.0,256.8,,70.23
124,north korea,14.4,148.52,,,,,109.84,24325701.0,120540.0,201.8,177.55,69.91
125,russia,12.6,156.55,,63.79,1630659,,292.0,142849472.0,17075200.0,8.4,166.9,69.83
126,belize,22.1,111.87,,57.79,1925,253,124.34,,,,79.24,69.76
